,relu,softexp
0,2.0222061079978944,1.298674567826589
1,1.1776585857868194,
2,1.1345667457580566,1.3109492414315542
3,0.07255890463888645,0.012183686372451484
4,0.06006173631648223,1.250096690607071
5,0.05504070306122303,0.04960289879242579
6,2.0222231177647907,1.2913294055779776
7,1.1411680791219077,0.10589688056210676
8,0.04907031950553258,
9,1.1436294893582661,3.027935717455546
10,1.1785014762560526,
11,2.0222229593594867,
12,1.1778224001248678,1.2676763386090597
13,0.07573170404632887,
14,2.0223422600428265,1.188965927974383
15,1.1400919013182322,6.775108340828826e+17
16,2.02219955701828,1.4648864804108939
17,0.058340797041356564,
18,1.1775021865685782,
19,0.05596178721040487,
20,0.07477408766349157,1.0994011715257296e+25
21,1.1773952813148498,
22,1.1403688589890797,
23,2.022385287729899,
24,0.07472570458054542,
25,1.1340076637744902,0.045009661695361136
26,2.022307200463613,1.4572013133366903
27,1.1779976283391316,0.08455551149894794
28,0.07198559144934018,
29,0.07518637793660164,0.05007966103255749
30,1.1421077812035878,
31,1.1773628685792288,2.022559350299835
32,1.1781237620830536,
33,2.02222536128362,
34,2.022205856259664,
35,2.0222930980682374,1.26728293800354
36,1.1782502809524535,0.08944044719822705
37,2.0222393566131593,
38,0.07486588075359663,1.339803440062205
39,1.1789200058142344,1.3914183466434478
40,2.0222187973658245,1.2468586625417073
41,0.07093058932026228,
42,0.025764718769118188,6.009142438194225e+18
43,0.07050840082565943,1.3324940057436625
44,1.1419053304831186,0.06396248399941251
45,0.02808632245771587,3.36518527885065e+29
46,2.022774619134267,
47,2.022204732767741,1.1940501171588898
48,0.054972855973243716,1.2676371283054353
49,0.062148458897074065,1.275762432495753
50,1.133914124282201,3.050954632519594e+18
51,2.022275616804759,1.3392630347092946
52,0.07087043951849142,3.027935717455546
53,1.1788353343168894,1.4458915443102518
54,0.0706017983396848,1.3586370794773102
55,0.07048961100478968,3.027935717455546
56,0.031238946327567102,3.027935717455546
57,2.022280177783966,3.027935717455546
58,0.07432000353336335,1.25219381275177
59,0.03343928809041778,
60,1.1722782331705093,1.302076085694631
61,0.07079297174712022,
62,1.5491876452147961,1.3153039109547933
63,0.07436218143999576,0.09161847383777301
64,0.06097332961310943,1.236606647936503
65,0.055323549045125646,2.0239264497121177
66,0.07031463309228421,1.6303290159225463
67,0.07089567039310932,1.1593195628960928
68,0.07219434221585591,0.017130880191735923
69,0.02510560093509654,1.2478380222638448
70,0.07540938532253107,1.509648768822352
71,0.08926834312081337,
72,0.05981948820948601,3.027935717455546
73,1.1777532848993937,0.14823543958862623
74,1.1410901215553284,3.027935717455546
75,1.1733388201713562,1.2679642779191336
76,1.1423421144008636,
77,0.07520084100365639,1.3973151387850444
78,0.05973841811319192,
79,0.07086529346108436,
80,1.1408621057669321,2.022390322335561
81,0.07197686385214329,1.4668368123531341
82,0.07041270523965358,1.4912799682935078
83,2.022199522686005,
84,0.057149130483468376,
85,1.173480663617452,1.303203950881958
86,0.05866572442650795,
87,2.022225097942352,1.2387732548793158
88,2.022199675401052,1.3167549033164978
89,0.058394061399499576,1.3094874122460682
90,0.055620010321338974,1.3082996565818787
91,0.05684168877402941,0.055496847024249535
92,0.09018763997952144,
93,1.1797980500062306,0.07688595640535156
94,1.1403638787110646,1.297161823574702
95,0.054691942658523715,
96,0.02613728585615754,1.799440191078186
97,1.1780512775818508,1.2742299779574076
98,1.1409033961455026,1.3115776234785717
99,0.07469076246023178,
